This is yeast_train
error=1424.65,k=1,training=1.429306
error=1386.17,k=2,training=0.183466
error=1362.9,k=3,training=0.203599
error=1338.95,k=4,training=0.207086
error=1332.4,k=5,training=0.269511
error=1327.93,k=6,training=0.122748
error=1330.48,k=7,training=0.186227
error=1319.78,k=8,training=0.248621
error=1317.14,k=9,training=0.180360
error=1300.54,k=10,training=0.176291
error=1316.68,k=11,training=0.180858
error=1364.69,k=12,training=0.208616
error=1357.39,k=13,training=0.300072
error=1290.26,k=14,training=0.287575
error=1362.56,k=15,training=0.338028
error=1305.04,k=16,training=0.455351
error=1375.38,k=17,training=0.678611
error=1311.8,k=18,training=1.009368
error=1368.03,k=19,training=2.452525
error=1368.96,k=20,training=3.126993
